split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,LONG_OR_FLAT_FILTERED,20181101,101500,162900,2018-11-01 10:15:00,2018-11-01 16:29:00,25340.0,25326.0,1,-16.0,-800.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181102,130100,162900,2018-11-02 13:01:00,2018-11-02 16:29:00,26157.0,26482.0,1,323.0,16150.0,208,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181106,150700,162900,2018-11-06 15:07:00,2018-11-06 16:29:00,26122.0,26023.0,1,-101.0,-5050.0,82,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181107,113800,133500,2018-11-07 11:38:00,2018-11-07 13:35:00,26325.0,26165.0,1,-162.0,-8100.0,57,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181112,133600,162900,2018-11-12 13:36:00,2018-11-12 16:29:00,25620.0,25560.0,1,-62.0,-3100.0,173,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181113,112100,162900,2018-11-13 11:21:00,2018-11-13 16:29:00,25320.0,25839.0,1,517.0,25850.0,248,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181115,155100,162900,2018-11-15 15:51:00,2018-11-15 16:29:00,26093.0,26058.0,1,-37.0,-1850.0,38,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181116,115600,144200,2018-11-16 11:56:00,2018-11-16 14:42:00,26149.0,25988.0,1,-163.0,-8150.0,106,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181119,142900,162900,2018-11-19 14:29:00,2018-11-19 16:29:00,26305.0,26287.0,1,-20.0,-1000.0,120,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181121,101500,162900,2018-11-21 10:15:00,2018-11-21 16:29:00,25746.0,25908.0,1,160.0,8000.0,314,session_end,LONG_FILTERED,TREND
